Value;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
28.6;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
28.7;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
28.8;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
28.9;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
29;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
29.1;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
29.2;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
29.3;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
29.4;78;0;0;0;80;78;80;78;80;0;78;0;0;0;78;78;80;F8;0;0;0
29.5;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
29.6;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
29.7;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
29.8;78;0;0;0;80;78;80;78;80;0;78;0;0;0;78;78;78;0;0;0;0
29.9;78;0;0;0;80;78;80;78;80;0;78;0;78;0;78;80;80;78;0;0;0
30;78;0;0;0;80;78;80;78;F8;0;0;0;78;78;F8;0;0;0;0;0;0
30.1;78;0;0;0;80;78;80;78;F8;0;0;78;78;80;0;F8;0;0;0;0;0
30.2;78;0;0;0;80;78;80;78;F8;0;0;80;0;78;F8;0;F8;0;0;0;0
30.3;78;0;0;0;80;78;80;78;F8;0;0;F8;0;78;0;0;F8;0;0;0;0
30.4;78;0;0;0;80;78;80;78;F8;0;0;0;0;78;78;0;F8;0;0;0;0
30.5;78;0;0;0;80;78;80;78;F8;0;0;78;0;78;80;0;F8;0;0;0;0
30.6;78;0;0;0;80;78;80;78;F8;0;0;80;0;78;F8;0;F8;0;0;0;0
30.7;78;0;0;0;80;78;80;78;F8;0;0;F8;0;78;0;80;F8;0;0;0;0
30.8;78;0;0;0;80;78;80;78;F8;0;0;0;0;78;78;80;F8;0;0;0;0
30.9;78;0;0;0;80;78;80;78;F8;0;0;78;0;78;80;78;F8;0;0;0;0
31;78;0;0;0;80;78;80;78;F8;0;78;0;78;80;0;F8;0;0;0;0;0
31.1;78;0;0;0;80;78;80;78;F8;0;78;78;78;F8;0;F8;0;0;0;0;0
31.2;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
31.3;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
31.4;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
31.5;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
31.6;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
31.7;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
31.8;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
31.9;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
32;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
